,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
FR0 1 - FR0 8,FR0 1,FR0 8,213.33333333333334,16.4,5.654,0.001,5.6530000000000005
FR0 10 - FR0 13,FR0 10,FR0 13,200.0,0.0,1.261,1.261,0.0
FR0 10 - FR0 14,FR0 10,FR0 14,144.66666666666666,2.7,2.694,0.005,2.689
FR0 10 - IT0 12,FR0 10,IT0 12,230.0,0.0,4.939,4.939,0.0
FR0 11 - FR0 15,FR0 11,FR0 15,199.0,2.7,2.614,0.001,2.613
FR0 11 - FR0 16,FR0 11,FR0 16,300.0,0.0,0.004,0.004,0.0
FR0 11 - FR0 17,FR0 11,FR0 17,251.0,0.0,0.342,0.342,0.0
FR0 11 - FR0 21,FR0 11,FR0 21,257.5,0.9,0.901,0.002,0.899
FR0 11 - FR0 25,FR0 11,FR0 25,237.66666666666666,6.300000000000001,6.295999999999999,0.001,6.295
FR0 11 - FR0 4,FR0 11,FR0 4,199.0,10.899999999999999,10.837,0.001,10.835999999999999
FR0 12 - FR0 20,FR0 12,FR0 20,180.33333333333334,2.7,10.537,7.839,2.698
FR0 12 - FR0 23,FR0 12,FR0 23,171.66666666666666,1.8,5.851,4.053,1.798
FR0 12 - FR0 5,FR0 12,FR0 5,249.0,0.9,0.899,0.0,0.899
FR0 12 - FR0 6,FR0 12,FR0 6,241.66666666666666,2.7,2.027,0.001,2.026
FR0 13 - FR0 14,FR0 13,FR0 14,249.0,8.2,4.443,0.002,4.441
FR0 13 - FR0 16,FR0 13,FR0 16,155.0,3.6,3.597,0.005,3.592
FR0 13 - FR0 2,FR0 13,FR0 2,121.66666666666667,1.8,3.1790000000000003,1.382,1.7970000000000002
FR0 13 - FR0 25,FR0 13,FR0 25,194.0,0.9,1.783,0.885,0.898
FR0 13 - IT0 12,FR0 13,IT0 12,218.0,0.0,1.762,1.762,0.0
FR0 15 - FR0 4,FR0 15,FR0 4,177.33333333333334,3.6,11.1,7.502,3.598
FR0 15 - FR0 8,FR0 15,FR0 8,130.66666666666666,3.6,9.762,6.165,3.597
FR0 16 - FR0 17,FR0 16,FR0 17,174.0,3.6,4.419,0.821,3.598
FR0 16 - FR0 24,FR0 16,FR0 24,237.0,0.0,9.366,9.366,0.0
FR0 16 - FR0 25,FR0 16,FR0 25,136.33333333333334,8.100000000000001,8.09,0.005,8.084999999999999
FR0 17 - FR0 24,FR0 17,FR0 24,253.0,0.9,3.102,2.203,0.899
FR0 17 - FR0 5,FR0 17,FR0 5,148.66666666666666,2.7,2.688,0.003,2.685
FR0 17 - FR0 7,FR0 17,FR0 7,260.0,2.7,2.8369999999999997,0.139,2.698
FR0 18 - FR0 22,FR0 18,FR0 22,192.0,1.8,10.211000000000002,8.413,1.798
FR0 18 - FR0 3,FR0 18,FR0 3,341.0,0.9,6.995,6.984,0.011
FR0 18 - FR0 7,FR0 18,FR0 7,242.66666666666666,3.6,3.601,0.004,3.597
FR0 18 - FR0 9,FR0 18,FR0 9,277.3333333333333,1.8,4.022,2.243,1.779
FR0 18 - GB5 6,FR0 18,GB5 6,438.0,0.0,13.069,13.069,0.0
FR0 19 - FR0 22,FR0 19,FR0 22,211.66666666666666,1.8,1.8210000000000002,0.023,1.798
FR0 19 - FR0 8,FR0 19,FR0 8,128.0,5.4,12.285,6.891,5.394
FR0 19 - GB5 9,FR0 19,GB5 9,177.0,0.0,21.396,21.396,0.0
FR0 19 - NO3 4,FR0 19,NO3 4,1534.0,13.163,0.001,0.0,0.001
FR0 2 - FR0 25,FR0 2,FR0 25,157.5,0.9,3.2150000000000003,2.317,0.898
FR0 2 - IT0 12,FR0 2,IT0 12,137.0,0.0,3.105,3.105,0.0
FR0 20 - FR0 5,FR0 20,FR0 5,217.33333333333334,1.8,1.806,0.008,1.798
FR0 20 - FR0 7,FR0 20,FR0 7,210.0,0.9,4.851,3.952,0.899
FR0 20 - FR0 9,FR0 20,FR0 9,207.0,1.8,7.378,5.58,1.798
FR0 21 - FR0 25,FR0 21,FR0 25,278.0,0.0,0.005,0.005,0.0
FR0 21 - FR0 4,FR0 21,FR0 4,131.0,21.506,21.503,0.003,21.5
FR0 22 - FR0 7,FR0 22,FR0 7,260.0,1.8,2.542,0.744,1.798
FR0 22 - GB5 10,FR0 22,GB5 10,328.0,0.0,10.624,10.624,0.0
FR0 23 - FR0 6,FR0 23,FR0 6,229.33333333333334,5.4,4.922,0.001,4.920999999999999
FR0 24 - FR0 26,FR0 24,FR0 26,175.5,1.8,9.901,8.103,1.798
FR0 24 - FR0 5,FR0 24,FR0 5,162.5,0.9,0.966,0.068,0.898
FR0 24 - FR0 6,FR0 24,FR0 6,248.0,0.9,1.913,1.014,0.899
FR0 26 - FR0 6,FR0 26,FR0 6,149.33333333333334,4.5,5.311,0.816,4.495
FR0 3 - FR0 9,FR0 3,FR0 9,231.0,0.0,3.173,3.173,0.0
FR0 4 - LU0 0,FR0 4,LU0 0,147.0,2.027,2.013,0.0,2.013
FR0 5 - FR0 7,FR0 5,FR0 7,285.0,0.0,0.794,0.794,0.0
FR0 7 - FR0 9,FR0 7,FR0 9,260.0,0.9,4.75,3.852,0.898
GB4 0 - GB5 16,GB4 0,GB5 16,401.0,0.9,12.032,12.021,0.011
GB4 0 - IE4 0,GB4 0,IE4 0,475.0,5.065,29.405,29.39,0.015
GB5 0 - GB5 16,GB5 0,GB5 16,160.0,0.0,7.426,7.426,0.0
GB5 0 - GB5 8,GB5 0,GB5 8,163.0,0.0,17.443,17.443,0.0
GB5 1 - GB5 10,GB5 1,GB5 10,180.0,0.9,0.902,0.005,0.897
GB5 1 - GB5 11,GB5 1,GB5 11,146.0,15.5,0.062,0.001,0.061
GB5 1 - GB5 14,GB5 1,GB5 14,205.0,8.2,2.884,0.0,2.884
GB5 1 - GB5 15,GB5 1,GB5 15,160.0,7.3,7.285,0.002,7.283
GB5 1 - GB5 2,GB5 1,GB5 2,190.0,7.3,7.288,0.0,7.288
GB5 1 - GB5 6,GB5 1,GB5 6,179.5,0.9,4.649,3.75,0.899
GB5 1 - GB5 7,GB5 1,GB5 7,172.0,0.0,7.15,7.15,0.0
GB5 10 - GB5 11,GB5 10,GB5 11,285.0,0.0,0.001,0.001,0.0
GB5 10 - GB5 13,GB5 10,GB5 13,106.33333333333333,15.5,15.506,0.012,15.494
GB5 10 - GB5 6,GB5 10,GB5 6,139.0,0.9,6.233,5.334,0.899
GB5 11 - GB5 15,GB5 11,GB5 15,82.5,7.3,24.203,16.919,7.284
