,demand,demand,demand,demand,demand,demand,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,cop,cop,salt_caverns,salt_caverns,salt_caverns,biomass_potentials,biomass_potentials
,electricity,H2,heat,oil,biomass,process emission,hydroelectricity,offshore wind,onshore wind,solar PV,solar rooftop,solar thermal,air heat pump,ground heat pump,nearshore caverns,offshore caverns,onshore caverns,biogas,solid biomass
FR0 5,9.71,0.82,4.8,3.49,1.45,0.07,51.37,,18.35,10.61,10.61,4.84,2.7,3.52,,,,0.92,5.63
FR0 6,21.42,2.49,14.59,3.55,2.11,0.86,51.37,,15.56,11.85,11.85,5.84,2.77,3.67,,,,1.54,4.81
FR0 7,21.29,2.52,15.25,3.51,3.87,0.16,,,23.41,10.52,10.52,4.46,2.77,3.66,,,,5.25,6.79
FR0 8,19.12,3.07,17.79,4.88,4.24,0.61,,,27.29,9.73,9.73,3.71,2.69,3.56,,,,2.38,6.74
FR0 9,19.94,3.02,18.59,0.79,0.38,0.02,,38.54,28.5,11.06,11.06,4.93,2.79,3.7,,,,1.19,2.96
GB4 0,10.09,2.1,10.62,4.49,1.16,0.4,,49.55,39.8,8.32,8.32,2.88,2.61,3.42,101.81,164.15,,5.02,0.81
GB5 0,6.16,0.7,3.75,20.12,6.8,2.19,45.0,49.45,36.72,7.46,7.46,2.55,2.51,3.3,,,,2.48,2.09
GB5 1,38.24,7.44,41.21,3.2,0.82,0.0,,,33.47,9.07,9.07,3.25,2.63,3.45,,,,0.53,2.75
GB5 10,30.45,6.24,32.31,12.38,3.4,0.74,,43.97,35.1,9.46,9.46,3.61,2.66,3.51,18.27,17.64,,2.78,3.13
GB5 11,25.34,5.98,22.49,2.04,1.03,0.1,,,37.37,9.16,9.16,3.39,2.64,3.48,16.0,,,1.66,0.77
GB5 12,2.4,0.38,2.05,6.24,4.57,0.33,,45.19,34.98,8.55,8.55,3.22,2.6,3.41,,,,0.48,1.6
GB5 13,98.43,16.43,89.12,1.44,0.37,0.02,,45.41,35.49,9.3,9.3,3.6,2.67,3.52,,,,3.44,4.62
GB5 14,7.4,1.38,5.51,10.76,3.86,0.58,,39.47,40.94,9.2,9.2,4.01,2.65,3.5,,,,2.43,1.1
GB5 15,50.05,10.58,49.14,9.96,1.86,0.49,,,36.63,8.62,8.62,3.02,2.58,3.39,7.4,,,1.9,2.59
GB5 16,26.04,4.75,23.79,6.15,1.88,0.33,45.0,48.14,37.71,8.24,8.24,2.82,2.56,3.34,,3.12,,1.93,3.76
GB5 17,7.65,1.54,8.72,15.77,4.77,1.34,,45.66,40.54,9.62,9.62,4.0,2.65,3.52,,1683.38,,3.79,2.5
GB5 2,16.46,2.89,15.53,10.25,2.81,0.17,,44.68,38.49,9.46,9.46,3.59,2.65,3.51,,,,2.96,3.42
GB5 3,6.78,1.22,6.74,31.99,8.21,0.37,,45.3,43.86,9.64,9.64,4.06,2.69,3.58,,,,0.74,3.0
GB5 4,21.94,5.69,17.63,0.79,0.2,0.0,,45.12,40.24,8.48,8.48,3.06,2.57,3.36,,,,1.34,0.62
GB5 5,8.94,2.02,6.96,3.63,0.77,0.37,,46.5,42.5,9.28,9.28,3.71,2.62,3.47,194.27,849.59,,1.52,1.21
GB5 6,24.12,4.56,19.35,8.54,2.55,0.62,,40.62,34.75,9.47,9.47,3.6,2.65,3.49,90.52,196.55,,2.29,2.19
GB5 7,28.1,4.86,22.48,2.55,0.88,0.07,,46.62,34.74,8.69,8.69,3.14,2.59,3.4,14.21,,,2.66,1.03
GB5 8,5.51,0.96,5.17,8.11,2.26,0.53,,44.92,37.49,8.25,8.25,3.12,2.53,3.31,,,,3.81,1.6
GB5 9,19.55,2.96,17.04,1.99,0.74,0.0,,44.41,39.88,9.65,9.65,4.02,2.68,3.56,,,,1.25,1.44
GR0 0,29.45,17.15,25.26,8.62,3.33,1.15,26.56,32.25,19.94,14.69,14.69,8.03,3.16,4.22,,,,1.62,6.54
GR0 1,28.43,19.05,26.46,7.15,3.04,1.98,26.56,24.24,9.3,13.83,13.83,7.07,3.0,3.95,67.84,16.16,,0.43,2.81
HR0 0,21.82,5.23,25.64,2.13,3.31,1.5,51.88,16.57,9.67,11.4,11.4,5.36,2.83,3.7,,,,0.89,7.7
HU0 0,29.67,3.74,46.99,5.31,2.37,0.4,45.75,,17.41,11.09,11.09,4.95,2.79,3.66,,,,8.47,12.57
HU0 1,18.63,2.87,28.81,5.4,5.15,1.14,45.75,,13.31,11.23,11.23,5.11,2.81,3.69,,,,8.63,17.72
IE4 0,39.09,4.2,30.25,9.11,5.64,1.1,31.2,48.16,35.32,8.87,8.87,3.18,2.64,3.46,,,,5.0,5.43
IT0 0,27.57,4.0,19.16,6.56,5.85,1.74,51.18,8.16,5.08,11.77,11.77,5.53,2.86,3.76,,,,5.24,4.52
IT0 1,12.07,1.69,8.24,1.13,0.75,0.08,51.18,20.17,12.74,13.52,13.52,6.93,3.04,4.02,,,,0.22,1.86
IT0 10,37.17,6.63,20.27,3.78,4.55,1.02,,19.8,19.38,13.97,13.97,7.33,3.11,4.14,,,,3.06,5.68
IT0 11,50.73,9.56,45.36,4.27,7.09,0.62,51.15,,3.3,11.86,11.86,5.32,2.75,3.6,,,,0.7,5.01
IT0 12,33.7,5.25,24.96,9.07,6.99,1.83,51.18,12.09,6.09,12.21,12.21,5.75,2.59,3.47,,,,5.28,3.7
IT0 13,12.33,2.47,12.36,1.1,0.76,0.22,51.18,27.7,16.21,14.38,14.38,7.82,3.14,4.23,,,,0.09,1.65
IT0 14,17.95,2.54,12.5,1.83,1.19,0.34,51.18,10.76,6.23,12.64,12.64,6.39,2.82,3.72,,,,0.43,3.18
IT0 15,48.08,6.54,30.54,3.62,2.36,1.36,51.18,,5.71,11.99,11.99,5.6,2.92,3.8,,,,0.25,2.49
IT0 16,28.76,4.14,16.61,2.24,2.76,0.51,51.18,12.92,7.49,11.88,11.88,5.02,2.68,3.52,,,,0.46,3.24
IT0 2,21.51,3.02,11.44,4.7,6.0,0.99,51.18,14.32,9.41,12.07,12.07,5.99,2.95,3.9,,,,5.86,6.93
IT0 3,12.25,2.2,10.62,5.02,5.26,0.93,51.18,10.02,9.78,13.88,13.88,7.21,3.03,4.06,,,,0.77,3.76
IT0 4,25.72,5.57,27.18,2.2,1.48,0.35,51.18,16.21,7.23,13.15,13.15,6.63,2.94,3.86,,,,0.18,1.76
IT0 5,26.16,4.19,17.9,3.5,2.68,0.93,51.18,,0.98,11.52,11.52,5.19,2.44,3.22,,,,3.07,4.34
IT0 6,9.17,1.33,6.38,4.26,1.95,0.34,,17.14,12.43,13.02,13.02,6.45,2.96,3.9,,,,1.49,2.18
IT0 7,19.37,3.83,14.26,6.23,4.36,1.64,,20.07,14.02,14.82,14.82,7.82,3.12,4.2,,,,1.12,4.38
IT0 8,35.77,4.69,22.51,5.55,1.77,0.63,51.18,16.31,9.51,12.63,12.63,6.14,2.92,3.83,,,,0.18,1.83
IT0 9,30.35,5.94,30.1,4.49,5.62,0.74,51.18,12.88,5.93,13.23,13.23,6.61,2.95,3.9,,,,3.65,5.39
IT1 0,18.02,2.04,8.7,2.28,1.1,0.3,51.18,20.95,19.06,13.72,13.72,7.37,3.05,4.06,,,,0.57,1.06
LT6 0,15.3,9.61,16.53,0.94,2.47,0.52,,37.94,23.33,9.23,9.23,3.53,2.54,3.35,,,,3.93,14.46
LU0 0,10.18,0.74,6.12,4.75,0.73,0.65,75.7,,22.4,9.28,9.28,3.47,2.59,3.44,,,,0.46,1.31
LV6 0,11.06,2.75,15.44,2.19,3.83,0.66,21.78,38.24,25.32,9.35,9.35,3.67,2.51,3.32,,,,2.19,21.13
ME0 0,4.02,0.19,1.78,0.16,0.29,0.15,,10.23,4.18,11.99,11.99,5.89,2.7,3.55,,,,0.08,0.28
MK0 0,8.71,0.76,3.9,0.11,0.32,0.06,30.04,,3.06,13.0,13.0,6.55,2.82,3.67,,,,0.19,1.18
NL0 0,67.59,57.79,45.95,16.63,6.53,0.95,,44.1,32.75,9.43,9.43,3.55,2.67,3.53,,46.29,,4.61,4.2
NL0 1,16.5,17.72,17.29,7.51,1.84,0.29,,,27.92,9.02,9.02,3.3,2.66,3.47,3.22,,65.19,1.45,1.25
NL0 2,35.2,35.56,34.05,56.67,4.97,0.52,,,25.92,9.16,9.16,3.35,2.67,3.51,,,19.9,2.26,4.96
NL0 3,15.71,10.41,9.09,6.8,3.9,0.01,,46.5,35.92,9.06,9.06,3.54,2.63,3.47,28.25,144.26,22.96,2.66,2.49
NL0 4,37.59,37.29,31.31,11.25,4.25,0.19,,46.88,42.0,9.53,9.53,3.78,2.65,3.53,,1479.58,,0.52,2.77
NL0 5,11.95,13.15,12.97,4.2,1.51,0.0,,47.93,40.45,9.41,9.41,3.67,2.64,3.51,17.07,1936.91,1.29,1.98,1.56
NO3 0,14.03,2.27,3.91,3.18,0.55,0.15,,35.82,19.04,7.19,7.19,2.87,2.29,3.02,,,,0.03,3.88
NO3 1,6.86,0.8,2.42,0.51,1.01,2.21,,33.88,18.17,,,2.34,2.2,3.03,,,,0.01,0.71
NO3 2,17.56,2.58,6.91,3.86,5.44,1.55,,30.16,12.96,7.28,7.28,3.32,2.17,2.96,,,,0.05,6.56
