,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
ES0 0 - ES0 6,ES0 0,ES0 6,316.0,0.0,0.008,0.008,0.0
ES0 0 - PT0 2,ES0 0,PT0 2,253.0,0.0,6.978,6.978,0.0
ES0 1 - ES0 10,ES0 1,ES0 10,322.0,0.0,0.002,0.002,0.0
ES0 1 - ES0 11,ES0 1,ES0 11,393.0,2.7,10.86,8.16,2.7
ES0 1 - ES0 12,ES0 1,ES0 12,344.6666666666667,1.8,1.804,0.004,1.8
ES0 1 - ES0 4,ES0 1,ES0 4,403.0,1.8,0.024,0.001,0.023
ES0 1 - ES0 5,ES0 1,ES0 5,425.0,0.9,0.9,0.0,0.9
ES0 1 - ES0 6,ES0 1,ES0 6,287.0,0.0,0.007,0.007,0.0
ES0 1 - ES0 8,ES0 1,ES0 8,339.0,0.9,0.9,0.001,0.899
ES0 1 - ES0 9,ES0 1,ES0 9,472.0,7.3,7.298,0.0,7.298
ES0 10 - ES0 2,ES0 10,ES0 2,241.0,0.0,0.112,0.112,0.0
ES0 10 - ES0 4,ES0 10,ES0 4,219.33333333333334,1.8,1.867,0.09,1.7770000000000001
ES0 10 - ES0 6,ES0 10,ES0 6,301.0,0.9,0.375,0.001,0.374
ES0 10 - PT0 1,ES0 10,PT0 1,210.0,0.0,1.595,1.595,0.0
ES0 11 - ES0 5,ES0 11,ES0 5,325.5,0.9,11.174,10.274,0.9
ES0 11 - ES0 6,ES0 11,ES0 6,362.5,7.3,0.951,0.001,0.95
ES0 12 - ES0 3,ES0 12,ES0 3,194.5,0.9,1.089,0.19,0.899
ES0 12 - ES0 9,ES0 12,ES0 9,209.5,2.7,4.254,1.555,2.699
ES0 12 - FR0 23,ES0 12,FR0 23,228.25,6.096,6.0600000000000005,0.001,6.059
ES0 2 - ES0 4,ES0 2,ES0 4,421.0,1.8,4.388,2.59,1.798
ES0 2 - PT0 1,ES0 2,PT0 1,306.5,0.924,13.382,12.459,0.923
ES0 3 - ES0 7,ES0 3,ES0 7,281.6666666666667,2.7,15.849999999999998,13.152,2.698
ES0 3 - ES0 8,ES0 3,ES0 8,312.0,2.7,22.442,19.742,2.7
ES0 3 - FR0 23,ES0 3,FR0 23,291.0,0.0,2.909,2.909,0.0
ES0 3 - FR0 6,ES0 3,FR0 6,291.0,1.8,1.8,0.0,1.8
ES0 4 - ES0 9,ES0 4,ES0 9,207.5,1.8,4.833,3.033,1.8
ES0 5 - ES0 8,ES0 5,ES0 8,234.66666666666666,1.8,1.79,0.002,1.788
ES0 6 - PT0 0,ES0 6,PT0 0,413.5,3.256,0.069,0.003,0.066
ES0 6 - PT0 2,ES0 6,PT0 2,308.0,0.0,0.004,0.004,0.0
ES0 7 - FR0 26,ES0 7,FR0 26,281.0,0.0,12.391,12.391,0.0
ES0 8 - ES2 0,ES0 8,ES2 0,409.0,0.9,0.362,0.001,0.361
ES0 9 - FR0 12,ES0 9,FR0 12,404.0,0.0,9.907,9.907,0.0
FI3 0 - FI3 1,FI3 0,FI3 1,444.0,0.0,0.04,0.04,0.0
FI3 0 - FI3 2,FI3 0,FI3 2,298.0,0.0,0.05,0.05,0.0
FI3 0 - FI3 4,FI3 0,FI3 4,238.0,1.8,1.802,0.003,1.799
FI3 0 - SE3 0,FI3 0,SE3 0,478.0,0.0,0.404,0.404,0.0
FI3 1 - FI3 2,FI3 1,FI3 2,422.0,0.0,0.239,0.239,0.0
FI3 1 - FI3 3,FI3 1,FI3 3,327.0,0.0,0.164,0.164,0.0
FI3 1 - SE3 7,FI3 1,SE3 7,350.0,0.0,0.112,0.112,0.0
FI3 2 - FI3 4,FI3 2,FI3 4,246.0,1.8,1.196,0.001,1.195
FI3 3 - SE3 7,FI3 3,SE3 7,306.0,0.0,0.056,0.056,0.0
FR0 0 - FR0 13,FR0 0,FR0 13,231.0,0.9,0.9,0.0,0.9
FR0 0 - FR0 14,FR0 0,FR0 14,142.66666666666666,1.8,3.6670000000000003,1.87,1.7970000000000002
FR0 0 - FR0 24,FR0 0,FR0 24,157.0,0.0,0.154,0.154,0.0
FR0 0 - FR0 26,FR0 0,FR0 26,146.33333333333334,2.7,3.761,1.063,2.698
FR0 1 - FR0 11,FR0 1,FR0 11,205.0,3.6,8.765,5.166,3.599
FR0 1 - FR0 15,FR0 1,FR0 15,228.0,2.7,2.568,0.0,2.568
FR0 1 - FR0 17,FR0 1,FR0 17,296.0,4.5,4.5,0.001,4.4990000000000006
FR0 1 - FR0 19,FR0 1,FR0 19,262.3333333333333,3.6,3.01,0.001,3.009
FR0 1 - FR0 22,FR0 1,FR0 22,197.33333333333334,10.0,12.657,2.659,9.998000000000001
FR0 1 - FR0 5,FR0 1,FR0 5,410.0,0.0,0.001,0.001,0.0
FR0 1 - FR0 7,FR0 1,FR0 7,215.33333333333334,4.5,5.657,1.157,4.5
FR0 1 - FR0 8,FR0 1,FR0 8,213.33333333333334,16.4,1.7519999999999998,0.001,1.751
FR0 10 - FR0 13,FR0 10,FR0 13,200.0,0.0,1.17,1.17,0.0
FR0 10 - FR0 14,FR0 10,FR0 14,144.66666666666666,2.7,2.9299999999999997,0.233,2.697
FR0 10 - IT0 12,FR0 10,IT0 12,230.0,0.0,3.954,3.954,0.0
FR0 11 - FR0 15,FR0 11,FR0 15,199.0,2.7,2.262,0.001,2.261
FR0 11 - FR0 16,FR0 11,FR0 16,300.0,0.0,0.001,0.001,0.0
FR0 11 - FR0 17,FR0 11,FR0 17,251.0,0.0,0.13,0.13,0.0
FR0 11 - FR0 21,FR0 11,FR0 21,257.5,0.9,0.9,0.001,0.899
FR0 11 - FR0 25,FR0 11,FR0 25,237.66666666666666,6.300000000000001,4.638,0.001,4.637
FR0 11 - FR0 4,FR0 11,FR0 4,199.0,10.899999999999999,9.949,0.001,9.948
FR0 12 - FR0 20,FR0 12,FR0 20,180.33333333333334,2.7,11.236,8.537,2.699
FR0 12 - FR0 23,FR0 12,FR0 23,171.66666666666666,1.8,3.1959999999999997,1.397,1.799
FR0 12 - FR0 5,FR0 12,FR0 5,249.0,0.9,0.9,0.0,0.9
FR0 12 - FR0 6,FR0 12,FR0 6,241.66666666666666,2.7,0.16799999999999998,0.001,0.16699999999999998
FR0 13 - FR0 14,FR0 13,FR0 14,249.0,8.2,4.859,0.001,4.8580000000000005
FR0 13 - FR0 16,FR0 13,FR0 16,155.0,3.6,2.958,0.002,2.9560000000000004
FR0 13 - FR0 2,FR0 13,FR0 2,121.66666666666667,1.8,1.83,0.032,1.798
FR0 13 - FR0 25,FR0 13,FR0 25,194.0,0.9,1.3010000000000002,0.402,0.899
FR0 13 - IT0 12,FR0 13,IT0 12,218.0,0.0,0.299,0.299,0.0
FR0 15 - FR0 4,FR0 15,FR0 4,177.33333333333334,3.6,3.6950000000000003,0.096,3.599
FR0 15 - FR0 8,FR0 15,FR0 8,130.66666666666666,3.6,3.595,0.001,3.5940000000000003
FR0 16 - FR0 17,FR0 16,FR0 17,174.0,3.6,3.227,0.001,3.226
FR0 16 - FR0 24,FR0 16,FR0 24,237.0,0.0,12.42,12.42,0.0
FR0 16 - FR0 25,FR0 16,FR0 25,136.33333333333334,8.100000000000001,10.934999999999999,2.838,8.097
FR0 17 - FR0 24,FR0 17,FR0 24,253.0,0.9,0.901,0.002,0.899
FR0 17 - FR0 5,FR0 17,FR0 5,148.66666666666666,2.7,2.666,0.002,2.6639999999999997
FR0 17 - FR0 7,FR0 17,FR0 7,260.0,2.7,2.699,0.001,2.698
FR0 18 - FR0 22,FR0 18,FR0 22,192.0,1.8,6.063000000000001,4.263,1.8
FR0 18 - FR0 3,FR0 18,FR0 3,341.0,0.9,5.907,5.898,0.009
FR0 18 - FR0 7,FR0 18,FR0 7,242.66666666666666,3.6,3.5999999999999996,0.002,3.598
FR0 18 - FR0 9,FR0 18,FR0 9,277.3333333333333,1.8,4.877000000000001,3.092,1.7850000000000001
FR0 18 - GB5 6,FR0 18,GB5 6,438.0,0.0,11.915,11.915,0.0
FR0 19 - FR0 22,FR0 19,FR0 22,211.66666666666666,1.8,1.802,0.003,1.799
FR0 19 - FR0 8,FR0 19,FR0 8,128.0,5.4,5.008,0.002,5.006
FR0 19 - GB5 9,FR0 19,GB5 9,177.0,0.0,9.894,9.894,0.0
FR0 19 - NO3 4,FR0 19,NO3 4,1534.0,13.163,0.002,0.0,0.002
FR0 2 - FR0 25,FR0 2,FR0 25,157.5,0.9,0.9670000000000001,0.068,0.899
FR0 2 - IT0 12,FR0 2,IT0 12,137.0,0.0,0.963,0.963,0.0
FR0 20 - FR0 5,FR0 20,FR0 5,217.33333333333334,1.8,1.049,0.001,1.048
FR0 20 - FR0 7,FR0 20,FR0 7,210.0,0.9,5.297000000000001,4.397,0.9
FR0 20 - FR0 9,FR0 20,FR0 9,207.0,1.8,5.931,4.131,1.8
FR0 21 - FR0 25,FR0 21,FR0 25,278.0,0.0,0.003,0.003,0.0
FR0 21 - FR0 4,FR0 21,FR0 4,131.0,21.506,10.648,0.001,10.646999999999998
FR0 22 - FR0 7,FR0 22,FR0 7,260.0,1.8,5.231,3.431,1.8
FR0 22 - GB5 10,FR0 22,GB5 10,328.0,0.0,7.631,7.631,0.0
FR0 23 - FR0 6,FR0 23,FR0 6,229.33333333333334,5.4,5.351,0.001,5.35
FR0 24 - FR0 26,FR0 24,FR0 26,175.5,1.8,12.495,10.696,1.799
FR0 24 - FR0 5,FR0 24,FR0 5,162.5,0.9,0.901,0.002,0.899
FR0 24 - FR0 6,FR0 24,FR0 6,248.0,0.9,1.667,0.767,0.9
FR0 26 - FR0 6,FR0 26,FR0 6,149.33333333333334,4.5,4.493,0.002,4.491
FR0 3 - FR0 9,FR0 3,FR0 9,231.0,0.0,1.543,1.543,0.0
FR0 4 - LU0 0,FR0 4,LU0 0,147.0,2.027,1.0030000000000001,0.0,1.0030000000000001
FR0 5 - FR0 7,FR0 5,FR0 7,285.0,0.0,0.002,0.002,0.0
FR0 7 - FR0 9,FR0 7,FR0 9,260.0,0.9,5.867,4.968,0.899
GB4 0 - GB5 16,GB4 0,GB5 16,401.0,0.9,12.163,12.153,0.01
GB4 0 - IE4 0,GB4 0,IE4 0,475.0,5.065,28.28,28.268,0.012
GB5 0 - GB5 16,GB5 0,GB5 16,160.0,0.0,6.917,6.917,0.0
GB5 0 - GB5 8,GB5 0,GB5 8,163.0,0.0,14.318,14.318,0.0
GB5 1 - GB5 10,GB5 1,GB5 10,180.0,0.9,1.058,0.159,0.899
GB5 1 - GB5 11,GB5 1,GB5 11,146.0,15.5,0.065,0.001,0.064
GB5 1 - GB5 14,GB5 1,GB5 14,205.0,8.2,2.43,0.0,2.43
GB5 1 - GB5 15,GB5 1,GB5 15,160.0,7.3,7.295,0.002,7.293
GB5 1 - GB5 2,GB5 1,GB5 2,190.0,7.3,7.297,0.0,7.297
GB5 1 - GB5 6,GB5 1,GB5 6,179.5,0.9,1.85,0.951,0.899
GB5 1 - GB5 7,GB5 1,GB5 7,172.0,0.0,8.456,8.456,0.0
GB5 10 - GB5 11,GB5 10,GB5 11,285.0,0.0,0.001,0.001,0.0
GB5 10 - GB5 13,GB5 10,GB5 13,106.33333333333333,15.5,8.629000000000001,0.002,8.627
GB5 10 - GB5 6,GB5 10,GB5 6,139.0,0.9,4.1579999999999995,3.259,0.899
