snapshot,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-05 06:00:00,26.15,17.97,-21.63,-5.94,0.1,94.05,-95.26,1.12,0.0,-0.01,0.0,98.5,8.56,-114.96,7.9,0.0,-0.0,0.0,0.03,56.41,-35.36,0.56,-0.01,0.0,39.27,2.7,-45.01,3.03,0.0,-0.0,0.0,76.21,24.9,23.0,-275.94,31.35,0.06,1.66,67.2,-0.97,14.33
2013-01-05 09:00:00,23.65,12.88,-21.63,-5.94,0.08,85.6,-86.13,0.45,0.0,-0.02,0.01,95.4,4.93,-103.97,3.63,0.01,-0.01,0.01,0.02,52.29,-30.81,0.13,-0.02,0.01,36.81,1.43,-39.25,1.01,0.0,-0.01,0.01,83.66,20.2,5.09,-247.05,27.5,14.44,1.4,64.14,-7.03,7.05
2013-01-05 12:00:00,20.69,16.77,-21.63,-5.94,0.16,83.49,-83.9,0.26,0.0,-0.02,0.01,94.17,4.17,-101.14,2.78,0.03,-0.01,0.01,0.06,50.8,-29.26,0.03,-0.02,0.01,35.46,1.12,-37.22,0.64,0.01,-0.01,0.01,86.08,18.47,7.6,-238.67,27.23,27.87,0.96,64.09,-28.74,3.57
2013-01-05 15:00:00,14.78,24.4,-21.63,-5.94,0.26,90.06,-90.97,0.65,0.0,-0.01,0.0,97.84,7.25,-109.39,4.29,0.0,-0.0,0.0,0.06,52.05,-30.56,0.07,-0.01,0.0,36.39,1.54,-38.85,0.93,0.0,-0.0,0.0,81.2,27.02,15.03,-255.72,20.61,8.56,1.63,70.14,-7.56,5.83
2013-01-05 18:00:00,15.13,24.85,-21.63,-5.94,0.2,90.75,-91.65,0.69,0.0,-0.0,0.0,97.49,7.9,-110.67,5.27,0.0,-0.0,0.0,0.04,51.01,-29.46,0.04,-0.01,0.0,35.19,1.5,-37.54,0.85,0.0,-0.0,0.0,81.02,25.46,15.99,-255.65,18.25,0.0,1.65,71.86,-2.23,9.62
2013-01-05 21:00:00,8.46,15.91,-21.63,-5.94,0.01,61.09,-61.1,0.0,0.0,-0.0,0.0,73.25,1.17,-74.71,0.3,0.0,-0.0,0.0,0.02,46.76,-25.15,0.0,-0.0,0.0,30.83,0.94,-32.07,0.31,0.0,-0.0,0.0,77.28,17.94,3.14,-184.21,5.62,0.0,1.48,71.69,-12.82,1.43
2013-01-06 00:00:00,7.22,12.64,-21.63,-5.94,0.0,58.45,-58.44,0.0,0.0,-0.0,0.0,67.57,1.96,-69.98,0.45,0.0,-0.0,0.0,0.25,52.81,-31.52,0.1,-0.0,0.0,35.08,2.34,-39.45,2.03,0.0,-0.0,0.0,77.33,16.75,6.74,-188.77,7.05,0.0,1.63,73.25,-10.04,2.11
2013-01-06 03:00:00,15.53,21.94,-21.63,-5.94,2.69,94.68,-98.99,1.62,0.0,-0.0,0.0,94.43,16.14,-116.77,6.2,0.0,-0.0,0.0,1.37,60.53,-41.77,1.49,-0.0,0.0,40.83,7.91,-52.25,3.52,0.0,-0.0,0.0,78.92,25.38,33.3,-291.56,18.79,0.0,1.88,73.25,-0.02,28.52
2013-01-06 06:00:00,24.2,20.37,-21.63,-5.94,2.71,99.72,-104.03,1.6,0.0,-0.0,0.0,99.8,19.11,-124.13,5.22,0.0,-0.0,0.0,0.74,58.72,-38.43,0.6,-0.0,0.0,40.01,6.39,-48.3,1.9,0.0,-0.0,0.0,78.96,24.08,35.71,-297.43,15.01,0.03,1.88,73.25,-0.42,30.29
2013-01-06 09:00:00,20.83,11.23,-21.63,-5.94,0.42,92.93,-93.92,0.57,0.0,-0.03,0.02,96.69,12.19,-112.1,3.21,0.02,-0.02,0.02,0.06,54.88,-33.42,0.11,-0.03,0.02,37.67,3.53,-42.05,0.85,0.01,-0.02,0.02,82.83,22.4,22.79,-265.91,16.54,16.41,0.67,73.07,-7.91,12.97
