,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 2,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,,,117.15,87.32,95.93,86.89,,,,,50.51,49.53,89.42,,,,,83.99,,,,63.87,57.22,68.99,,,66.61,57.22,83.45,-1.54,11.33,9.45,3.18,22.41,11.03,0.0,0.0,0.09,5.58,11.03,0.51,0.0,2.8,0.13,5.98,3.04,0.0,0.0,0.0,1.05,1.34,6.32,2.2,0.0,0.0,25.07,0.0,1.79,,,,,0.0,0.0,0.0,0.0,0.0,0.0,33.28,100.0,0.0
DE0 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.12,87.29,97.06,87.01,,,,,51.32,50.41,89.64,,,,,84.21,,,,,,64.0,,,70.26,63.09,87.82,-2.45,11.4,22.89,2.77,34.62,10.57,0.0,0.0,0.08,6.59,10.57,0.4,0.0,3.5,0.22,4.06,1.11,0.0,0.0,0.0,1.02,1.45,0.0,0.0,0.0,0.0,24.01,0.0,1.53,,,,,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
DE0 21,,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.63,86.8,92.56,83.25,,,,,48.85,48.05,85.84,,,,,80.4,55.31,,,,,55.31,,,68.88,61.99,85.35,-6.12,14.15,-7.74,4.14,4.43,14.42,0.0,0.0,0.11,32.17,14.42,0.78,0.0,5.01,0.28,2.27,0.03,0.0,0.0,19.36,1.3,2.34,0.0,0.0,0.0,116.05,32.78,0.0,2.7,,,,,97.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 22,,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.0,0.01,,,117.24,87.41,96.63,86.88,,,,,49.75,48.74,89.44,,,,,84.01,,,,65.58,58.6,65.34,,,67.22,59.28,87.18,-10.36,22.06,23.52,3.54,38.76,18.05,0.0,0.0,0.14,8.44,18.05,1.05,0.0,6.48,0.04,11.14,0.28,0.0,0.0,0.0,1.91,1.81,21.71,3.6,0.0,0.0,41.02,0.0,3.55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
DE0 23,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.8,86.97,86.37,77.74,,,,,47.6,46.96,80.41,,,,,74.98,47.77,,,,,47.77,59.9,,66.01,61.48,80.96,1.71,-4.72,-11.44,0.3,-14.15,5.26,2.48,0.0,0.04,1.12,5.26,0.06,0.0,1.81,0.42,0.61,0.0,0.0,0.0,13.48,0.01,0.96,0.0,0.0,0.0,36.05,11.95,0.0,0.57,,0.0,,,54.61,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.87,87.04,94.85,85.25,,,,,50.33,49.58,87.84,,,,,82.41,,,,,,61.93,,,70.22,62.67,87.34,-0.82,4.33,11.29,1.59,16.38,6.46,0.0,0.0,0.05,0.0,6.46,0.17,0.0,1.83,0.31,1.52,0.6,0.0,0.0,0.0,0.35,0.88,0.0,0.0,0.0,0.0,14.68,0.0,0.49,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
DE0 25,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,117.34,87.51,97.9,88.39,,,,,51.9,50.97,90.96,,,,,85.53,,,,,60.52,70.94,,,68.2,60.52,88.91,2.21,1.47,5.71,0.99,10.37,4.09,0.0,0.0,0.03,11.52,4.09,0.03,0.0,1.63,0.32,0.62,0.2,0.0,0.0,0.0,0.08,0.49,4.37,0.36,0.0,0.0,9.29,0.0,0.11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23.93,43.75,0.0
DE0 26,,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.78,86.95,94.88,84.93,,,,,49.4,48.79,87.54,,,,,82.11,53.42,,,,,57.76,,,69.83,62.82,86.09,-13.99,33.38,38.52,8.18,66.09,28.36,0.0,0.0,0.23,12.38,28.36,1.79,0.0,8.58,0.02,8.28,0.19,0.0,0.0,7.44,3.11,3.28,0.0,0.0,0.0,0.0,64.45,0.0,4.38,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 27,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,,,117.08,87.25,96.8,86.93,,,,,50.73,49.98,89.51,,,,,84.08,,,,,61.32,66.6,,,69.07,61.32,88.27,7.83,5.74,13.66,3.21,30.44,8.14,0.0,0.0,0.06,11.8,8.14,0.23,0.0,2.64,0.35,2.79,0.23,0.0,0.0,0.0,0.51,0.98,3.62,0.15,0.0,0.0,18.5,0.0,0.82,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.49,9.54,0.0
DE0 3,0.63,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.51,,116.75,86.92,87.62,78.96,,,,,48.12,47.53,81.64,,,,,76.22,43.81,55.31,57.56,,,49.07,58.51,63.07,65.84,61.23,,3.95,-14.64,-40.55,1.42,-49.82,4.0,7.14,0.0,0.03,2.97,4.0,0.01,0.0,1.27,0.34,0.37,0.0,0.0,7.9,16.68,0.02,0.74,0.01,0.0,0.0,371.52,9.08,0.0,0.17,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.02,0.02,0.0
