,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
IT0 8,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,,116.43,86.6,88.82,83.59,,,,,44.29,43.33,85.41,,,,,79.98,,,,50.04,47.72,90.14,93.7,98.76,60.01,47.72,69.67,5.54,4.7,20.06,3.8,34.11,23.29,0.0,0.0,0.25,0.0,23.29,1.11,0.02,6.74,0.45,4.24,0.59,0.0,0.0,0.0,0.0,2.36,17.67,3.63,0.36,0.0,52.93,0.04,6.55,,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,34.1,100.0,0.0
IT0 9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.01,0.01,0.0,,115.88,86.05,87.26,82.32,,,,,42.97,41.8,84.15,,,,,78.72,,,,47.68,42.47,87.44,95.26,90.27,56.06,42.47,67.67,4.37,6.07,29.54,1.26,41.23,31.0,0.02,0.0,0.33,12.87,31.0,1.9,0.0,6.78,0.3,7.47,1.36,0.0,0.0,0.0,0.02,4.05,5.04,4.84,0.54,0.0,70.45,0.01,9.97,,0.0,2.41,,0.0,0.0,0.0,0.0,0.0,0.0,12.67,100.0,0.0
IT1 0,0.0,0.99,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,,,114.92,85.09,79.5,77.67,,,,,27.49,27.2,79.37,,,,,73.94,67.33,,,46.16,40.66,67.33,78.0,,52.52,41.77,66.35,2.0,-22.48,-35.6,0.01,-56.07,9.6,11.24,0.0,0.1,0.0,9.6,0.0,13.06,3.69,0.62,0.16,0.5,0.0,0.0,25.36,0.05,1.97,41.73,1.5,0.02,0.05,21.82,38.0,0.06,,0.0,,,54.89,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
LT6 0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.04,,117.91,88.08,88.43,79.37,,,,,50.9,50.19,82.04,,,,,76.61,,,,,60.85,59.65,64.68,59.27,68.51,60.85,,0.93,9.61,16.18,-1.04,25.69,11.27,0.0,0.0,0.16,0.9,11.27,0.47,0.0,3.49,0.35,1.8,1.0,0.0,0.9,0.02,0.0,2.23,1.55,0.0,0.0,0.0,25.61,0.0,2.12,,0.0,58.22,,0.02,0.0,0.0,,0.0,0.0,0.88,0.02,0.0
LU0 0,,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,0.0,87.07,95.6,85.27,,,,,49.76,49.04,87.86,,,,,82.43,56.67,,,,60.52,58.52,,,68.36,60.52,86.27,2.86,3.43,1.43,1.57,9.3,3.23,0.0,0.0,0.0,1.93,3.23,0.23,0.0,1.64,0.03,1.91,1.32,0.0,0.0,3.2,0.32,0.49,4.19,0.49,0.0,0.0,7.34,0.0,0.73,,,,,100.0,0.0,0.0,0.0,0.0,0.0,56.1,82.73,0.0
LV6 0,0.0,0.31,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,,117.46,87.62,86.17,77.77,,,,,50.76,50.11,80.41,,,,,74.98,50.7,,,,59.88,50.7,61.32,63.81,69.3,59.88,88.24,0.88,4.61,-8.26,0.81,-1.97,5.73,0.0,0.0,0.23,2.46,5.73,0.37,0.0,3.0,0.34,1.76,1.51,0.0,0.0,5.48,0.22,2.55,12.45,0.0,0.0,0.01,13.01,0.0,3.57,,0.0,0.0,,3.68,0.0,0.0,0.0,0.0,0.0,10.38,0.04,0.0
ME0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,,,116.56,86.73,89.74,85.83,,,,,47.79,46.67,87.99,,,,,82.56,,,,,47.62,104.42,120.08,,55.65,47.62,,-0.22,0.74,1.86,0.2,2.58,2.74,0.0,0.0,0.0,0.0,2.74,0.03,0.0,0.62,0.06,0.61,0.0,0.0,0.0,0.0,0.07,0.2,1.85,0.7,0.05,0.0,6.22,0.0,0.13,,0.0,,,0.0,0.0,0.0,,0.0,0.0,12.58,100.0,0.0
MK0 0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,,0.0,86.12,86.8,84.4,,,,,46.2,45.15,86.3,,,,,80.87,,,,48.53,44.12,85.37,,,54.11,44.12,84.06,-0.88,1.35,0.11,0.45,1.04,8.68,0.48,0.0,0.0,0.0,8.68,0.07,0.0,1.39,0.14,1.15,0.57,0.0,0.0,0.0,0.17,0.55,6.53,2.02,0.03,0.0,19.74,0.01,0.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.91,100.0,0.0
NL0 0,0.1,0.76,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0.91,,116.42,86.59,89.14,79.93,,,,,46.78,45.89,82.56,,,,,77.13,39.47,53.56,53.14,,59.39,52.19,54.25,56.93,68.91,59.39,,-1.25,68.55,-28.16,7.32,46.45,21.79,6.47,0.0,4.78,16.75,21.79,1.77,0.0,12.06,0.4,6.59,0.0,0.0,25.14,8.06,3.01,4.34,10.92,0.0,0.0,0.0,49.51,0.0,9.34,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,35.48,0.03,0.0
NL0 1,,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.52,86.69,91.66,82.09,,,,,48.01,47.27,84.74,,,,,79.3,45.17,,,,,52.84,,,68.9,62.06,,1.64,26.1,-2.38,2.9,28.26,8.39,0.0,0.0,1.84,1.98,8.39,0.55,0.0,3.4,0.29,1.41,0.0,0.0,0.0,9.81,1.0,1.4,0.0,0.0,0.0,131.23,19.07,0.0,1.49,,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NL0 2,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.73,86.9,93.08,83.32,,,,,48.24,47.47,86.02,,,,,80.59,48.63,,,,,54.53,,,69.65,62.61,,43.92,53.78,26.72,17.8,142.21,16.36,0.0,0.0,3.59,3.7,16.36,1.23,0.0,6.75,0.35,3.1,0.0,0.0,0.0,7.61,2.18,2.53,0.0,0.0,0.0,0.0,37.18,0.0,3.9,,,,,100.0,0.0,0.0,,0.0,0.0,0.01,0.01,0.0
NL0 3,0.08,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04,,116.45,86.62,87.41,78.6,,,,,46.84,46.11,81.25,,,,,75.82,36.57,,,,,52.34,57.14,58.29,67.7,61.42,,3.4,11.87,-3.58,-0.89,10.8,4.37,1.31,0.0,0.96,2.39,4.37,0.3,0.0,2.74,0.13,1.26,0.0,0.0,0.54,8.4,0.57,0.84,0.0,0.0,0.0,119.09,9.92,0.0,1.33,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NL0 4,0.18,0.08,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0.92,,116.22,86.39,85.3,76.66,,,,,45.69,45.11,79.25,,,,,73.81,29.97,50.44,54.53,,58.75,50.59,52.82,54.53,67.95,58.75,,1.05,9.62,-10.85,6.69,6.51,15.07,12.91,0.0,3.3,2.74,15.07,1.32,0.0,7.44,0.25,4.58,0.0,0.0,23.37,3.19,1.71,2.72,13.3,0.0,0.0,0.0,34.24,0.0,5.95,,100.0,46.18,,100.0,0.0,0.0,,0.0,0.0,88.1,0.03,0.0
NL0 5,0.13,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.16,,116.28,86.45,84.71,76.17,,,,,45.8,45.21,78.8,,,,,73.37,31.82,49.56,51.89,,,50.54,52.76,52.96,67.34,61.12,,2.04,-48.55,-44.21,-0.32,-91.04,6.36,21.29,0.0,1.4,3.05,6.36,0.41,0.0,2.75,0.27,1.56,0.0,0.0,28.85,9.16,0.37,1.21,0.0,0.0,0.0,2920.76,14.46,0.0,1.72,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.01,0.02,0.0
NO3 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,116.44,86.61,79.8,71.15,,,,,49.97,49.57,73.78,,,,,68.35,,,,,,62.66,66.7,66.15,65.11,61.25,,0.58,5.98,10.06,1.0,17.63,1.82,0.0,0.0,0.11,0.0,1.82,0.1,0.0,2.11,0.06,0.72,1.64,0.0,0.0,0.0,0.44,0.57,0.0,0.0,0.0,0.0,4.13,0.0,0.5,,0.0,0.02,,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NO3 1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,118.21,88.38,77.38,69.28,,,,,50.2,49.74,71.93,,,,,66.5,,,,,,62.56,64.73,66.52,,,,0.49,0.83,-0.32,2.15,3.14,1.22,0.0,0.0,0.07,0.0,1.22,0.02,0.0,1.28,0.11,0.43,2.32,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.01,2.77,0.0,0.25,,0.0,0.03,,0.0,0.0,0.0,,0.0,0.0,,,0.0
NO3 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,115.43,85.6,76.79,68.29,,,,,49.66,49.22,70.93,,,,,65.5,,,,,,51.6,62.77,62.57,62.28,59.68,,-3.59,13.23,-12.43,1.36,-1.44,3.28,0.0,0.0,0.2,0.0,3.28,0.1,0.0,2.95,0.07,1.74,9.58,0.0,0.0,0.0,1.34,0.98,0.0,0.0,0.0,0.0,7.44,0.0,0.94,,0.0,0.04,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
NO3 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117.4,87.57,79.09,70.83,,,,,35.66,35.92,73.46,,,,,68.03,,,,,,59.16,65.03,65.95,62.53,61.03,,2.02,1.31,-4.12,1.36,0.56,0.68,0.0,0.0,0.04,0.0,0.68,0.0,0.0,0.93,0.07,0.19,3.03,0.0,0.0,0.0,0.01,0.23,0.0,0.0,0.0,0.0,1.56,0.0,0.02,,0.0,0.01,,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NO3 4,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.93,85.1,77.09,68.39,,,,,46.89,46.52,71.04,,,,,65.61,53.06,,,,,53.06,61.28,57.82,66.08,61.73,,-0.69,9.46,-11.78,3.04,0.02,2.14,0.0,0.0,0.13,13.29,2.14,0.12,0.0,1.79,0.02,1.4,4.55,0.0,0.0,4.16,0.91,0.65,0.0,0.0,0.0,0.0,4.86,0.0,0.57,,0.0,0.27,,7.43,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NO3 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,,115.45,85.62,78.06,69.31,,,,,47.9,47.56,71.97,,,,,66.54,,,50.42,,,54.27,58.86,55.12,66.17,61.85,,-5.59,12.27,-14.58,0.69,-7.21,3.07,0.0,0.0,0.18,7.3,3.07,0.2,0.0,2.75,0.0,1.63,8.05,0.0,1.87,0.0,1.25,0.97,0.0,0.0,0.0,0.0,6.97,0.0,0.97,,0.01,100.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
NO3 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.1,86.27,78.49,69.54,,,,,49.22,48.65,72.19,,,,,66.75,,,,,,52.7,57.42,,66.44,61.48,,-10.13,24.36,31.78,2.49,48.5,9.18,0.0,0.0,0.55,0.0,9.18,0.67,0.0,6.47,0.12,2.37,3.85,0.0,0.0,0.0,2.23,3.35,0.0,0.0,0.0,0.0,20.86,0.0,3.08,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
PL0 0,,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,117.57,87.74,88.79,80.36,,,,,50.02,49.2,83.02,,,,,77.58,55.81,,,,,55.81,,,65.3,61.14,,3.38,-2.61,-17.33,6.97,-9.58,14.41,3.87,0.0,0.02,1.05,14.41,0.2,0.0,4.11,0.95,1.07,0.0,0.0,0.0,26.32,0.0,3.24,0.0,0.0,0.0,0.0,32.75,0.0,1.27,,,,,47.64,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
PL0 1,0.0,1.94,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,2.1,,116.44,86.61,86.52,78.07,,,,,48.65,48.04,80.76,,,,,75.33,41.95,,61.56,,60.31,49.1,59.18,61.82,66.13,60.31,,0.76,-25.21,-58.51,-1.19,-84.15,9.93,13.21,0.0,0.01,0.9,9.93,0.3,0.0,2.69,0.48,1.47,0.88,0.0,5.75,35.63,0.44,1.76,5.34,0.0,0.0,1593.02,22.56,0.0,2.11,,0.0,100.0,,100.0,0.0,0.0,,0.0,0.0,9.47,0.01,0.0
PL0 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.45,87.62,90.58,81.75,,,,,50.01,49.35,84.4,,,,,78.97,,,,,,58.35,,,66.28,62.06,79.42,2.36,6.44,47.37,5.38,61.55,28.76,0.0,0.0,0.03,4.21,28.76,0.99,0.0,7.83,1.16,4.55,0.01,0.0,0.0,0.0,0.01,4.59,0.0,0.0,0.0,0.0,65.37,0.0,2.81,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL0 3,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13,,117.17,87.34,89.61,81.23,,,,,49.33,48.83,83.89,,,,,78.46,52.84,,57.88,,,52.84,64.23,62.45,66.35,61.85,,3.3,2.9,0.81,-4.46,2.56,8.71,0.0,0.0,0.01,0.74,8.71,0.13,0.0,2.57,0.59,0.85,0.08,0.0,1.54,4.13,0.0,1.45,0.0,0.0,0.0,142.61,19.79,0.0,0.75,,0.01,100.0,,13.55,0.0,0.0,,0.0,0.0,0.01,0.01,0.0
PL0 4,,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.14,87.31,89.04,80.5,,,,,49.99,49.27,83.16,,,,,77.72,55.95,,,,,55.95,,,65.29,61.52,79.23,-5.81,8.26,-9.29,2.29,-4.55,24.47,3.43,0.0,0.03,5.84,24.47,0.54,0.0,6.93,1.23,1.94,0.2,0.0,0.0,30.87,1.11,4.44,0.0,0.0,0.0,0.0,55.62,0.0,2.26,,,,,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL0 5,,0.81,0.0,0.0,0.0,0.0,0.07,0.0,0.0,,,,117.79,87.96,91.2,82.23,,,,,50.46,49.53,84.89,,,,,79.46,60.05,,,,61.12,60.05,,,67.14,61.12,,1.94,9.19,50.17,5.72,67.02,39.58,0.0,0.0,0.04,1.3,39.58,1.97,0.0,11.41,0.75,12.34,0.66,0.0,0.0,6.49,0.0,5.69,8.87,0.0,0.0,0.0,89.95,0.0,5.18,,,,,14.1,0.0,0.0,,0.0,0.0,7.6,0.0,0.0
PL0 6,,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,117.36,87.53,89.79,80.97,,,,,50.61,49.91,83.62,,,,,78.19,58.72,,,,,58.72,,,66.01,61.73,,-4.98,11.34,23.69,3.99,34.04,26.85,0.0,0.0,0.03,6.51,26.85,0.89,0.0,6.69,0.92,4.38,0.02,0.0,0.0,6.88,1.05,4.62,0.0,0.0,0.0,0.0,61.01,0.0,2.11,,,,,9.42,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
PL0 7,,0.29,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,,,117.88,88.05,91.62,82.75,,,,,50.52,49.59,85.4,,,,,79.97,62.16,,,,59.63,62.16,,,66.68,59.63,79.59,1.56,2.69,7.33,3.71,15.29,16.77,0.0,0.0,0.02,0.79,16.77,0.69,0.0,4.18,0.47,5.48,0.26,0.0,0.0,5.24,0.0,2.92,8.11,0.0,0.0,0.0,38.11,0.0,1.42,,,,,15.98,0.0,0.0,0.0,0.0,0.0,10.69,0.01,0.0
PT0 0,0.0,0.72,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.01,,,113.14,83.31,72.55,67.52,,,,,34.9,34.53,69.49,,,,,64.05,61.59,,,43.19,38.27,61.59,62.28,,51.76,38.27,60.2,-4.32,0.15,-12.84,-1.7,-18.7,18.25,6.33,0.0,0.3,0.22,18.25,0.28,0.0,4.47,0.15,1.03,0.53,0.0,0.0,16.73,1.03,1.19,24.36,3.62,0.01,214.51,41.49,0.0,1.19,,0.01,,,30.72,0.0,0.0,0.0,0.0,0.0,47.67,100.0,0.0
PT0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.01,,,113.4,83.57,73.07,67.64,,,,,36.88,36.61,69.75,,,,,64.31,,,,45.32,40.38,57.93,60.76,,52.29,40.38,59.81,0.36,16.57,18.09,-0.74,34.28,22.41,0.0,0.0,0.36,0.92,22.41,0.34,0.0,4.92,0.16,1.07,5.72,0.0,0.0,0.0,1.26,1.03,4.6,4.44,0.0,1478.29,50.93,0.0,1.27,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.83,100.0,0.0
PT0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,,,,112.75,82.92,72.57,68.06,,,,,23.68,23.56,69.87,,,,,64.44,,,,,36.81,66.52,67.84,,50.74,37.16,,6.72,-22.8,-1.86,0.4,-17.54,3.4,15.05,0.0,0.06,0.26,3.4,0.0,0.0,1.01,0.07,0.17,0.51,0.0,0.0,0.0,0.03,0.32,33.1,0.67,0.0,691.6,7.72,0.01,0.01,,0.0,,,0.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
RO0 0,,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.01,,,117.39,87.56,90.68,86.01,,,,,49.51,48.59,88.37,,,,,82.94,,,,55.87,49.62,90.14,,,55.87,49.62,68.12,3.81,2.6,15.94,1.45,23.8,13.89,0.0,0.0,0.02,0.19,13.89,0.27,0.0,6.13,1.25,2.84,3.78,0.0,0.0,0.0,0.0,4.05,5.49,1.46,0.0,0.0,31.56,0.0,2.63,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.3,21.81,0.0
RO0 1,,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.01,,,117.27,87.44,90.63,85.56,,,,,48.92,48.02,87.85,,,,,82.42,,,,52.45,46.58,88.34,,,52.45,46.58,67.63,2.69,4.01,4.57,2.86,14.12,14.69,0.13,0.0,0.02,0.07,14.69,0.78,0.0,5.66,0.44,8.24,1.76,0.0,0.0,0.0,0.0,3.96,19.72,3.2,0.0,0.0,33.38,0.0,6.62,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.38,45.35,0.0
RO0 2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,116.98,87.15,88.88,83.74,,,,,49.14,48.27,86.1,,,,,80.66,,77.0,75.98,,,80.49,83.98,84.69,58.11,51.11,66.42,4.05,3.79,-6.35,4.18,5.67,11.96,0.24,0.0,0.02,0.01,11.96,0.49,0.0,5.21,0.61,4.38,0.63,0.0,12.28,0.28,0.11,3.82,0.0,0.0,0.0,0.0,27.17,0.0,4.5,,100.0,100.0,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
RS0 0,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,,,116.57,86.74,88.58,85.07,,,,,47.61,46.53,87.27,,,,,81.84,,,,53.19,,92.56,,,53.19,51.51,,-0.53,5.09,22.87,0.49,27.92,15.58,0.0,0.0,0.01,1.8,15.58,0.2,0.0,4.1,0.57,3.09,0.0,0.0,0.0,0.0,0.43,1.75,0.0,3.52,0.0,0.0,35.42,0.0,1.07,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,96.37,0.0
RS0 1,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,,,117.03,87.2,90.99,86.38,,,,,47.46,46.56,88.67,,,,,83.23,,,,54.47,48.57,92.76,,,54.47,48.57,,1.75,1.6,18.1,1.26,22.72,14.77,0.0,0.0,0.01,0.91,14.77,0.4,0.0,3.62,0.24,3.89,0.0,0.0,0.0,0.0,0.01,1.39,2.56,3.28,0.0,0.0,33.56,0.0,3.33,,,,,0.0,0.0,0.0,,0.0,0.0,1.87,94.51,0.0
SE3 0,0.0,0.11,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,117.3,87.47,83.51,74.61,,,,,50.18,49.52,77.21,,,,,71.78,54.07,,,,58.02,54.07,61.73,61.36,65.32,58.02,70.98,-11.74,28.84,41.76,5.37,64.23,18.04,0.0,0.0,0.85,0.0,18.04,1.74,0.0,10.98,0.15,6.4,0.81,0.0,0.0,3.86,2.05,4.81,21.7,0.0,0.0,0.0,41.0,0.0,9.43,,0.0,0.0,,1.9,0.0,0.0,0.0,0.0,0.0,26.61,0.01,0.0
SE3 1,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,,117.61,87.78,77.59,69.77,,,,,35.23,35.34,72.42,,,,,66.99,57.58,,,,,57.58,66.09,61.86,61.4,59.39,66.26,5.29,-0.44,-31.83,0.05,-26.93,0.94,0.36,0.0,0.04,0.0,0.94,0.0,0.0,0.93,0.1,1.1,2.38,0.0,0.84,14.78,0.01,0.29,0.0,0.0,0.0,0.0,2.14,0.0,0.06,,0.0,100.0,,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
SE3 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.17,,117.45,87.62,79.59,71.35,,,,,51.26,50.93,74.01,,,,,68.58,,,57.22,,,63.38,68.72,63.17,64.25,60.28,67.44,-0.58,2.18,-12.13,0.15,-10.38,2.01,0.0,0.0,0.09,0.0,2.01,0.04,0.0,1.39,0.15,1.42,3.85,0.0,1.3,0.0,0.13,0.56,0.0,0.0,0.0,0.0,4.57,0.0,0.57,,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
SE3 3,0.0,5.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.0,,116.01,86.18,80.82,72.4,,,,,47.54,47.1,75.08,,,,,69.64,45.69,,,,57.3,45.69,54.73,57.51,64.3,57.3,,0.84,-45.71,-59.15,4.47,-99.54,9.03,20.16,0.0,0.42,0.0,9.03,0.87,0.0,5.65,0.03,3.18,0.09,0.0,0.0,65.41,1.42,2.66,35.84,0.0,0.0,0.0,20.51,0.0,6.3,,0.0,0.0,,67.71,0.0,0.0,,0.0,0.0,71.28,0.02,0.0
SE3 4,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,118.62,88.78,77.46,69.53,,,,,35.88,36.16,72.2,,,,,66.77,,,,,,59.06,,,,,,0.18,0.21,-7.21,-0.05,-6.87,0.57,0.03,0.0,0.03,0.0,0.57,0.0,0.0,0.36,0.06,0.21,2.37,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,1.3,0.0,0.01,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0
SE3 5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,117.08,87.25,79.44,71.44,,,,,50.88,50.58,74.09,,,,,68.66,,,,,,60.78,,,63.03,61.0,68.27,0.17,0.72,-1.59,-0.07,-0.77,0.99,0.0,0.0,0.05,0.0,0.99,0.0,0.0,0.74,0.1,0.82,1.46,0.0,0.0,0.0,0.02,0.23,0.0,0.0,0.0,0.0,2.25,0.0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
SE3 6,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,,116.47,86.64,82.6,73.93,,,,,49.22,48.69,76.62,,,,,71.19,,,,,58.9,53.13,54.67,58.09,65.69,58.9,69.72,-5.98,18.45,20.91,1.67,35.05,8.91,0.0,0.0,0.42,0.49,8.91,0.82,0.0,5.43,0.06,2.42,0.66,0.0,0.0,0.0,1.57,2.43,15.02,0.0,0.0,0.0,20.25,0.0,2.89,,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,35.09,0.02,0.0
SE3 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,,118.36,88.53,78.16,70.53,,,,,35.51,35.57,73.2,,,,,67.77,,,59.66,,,63.07,64.5,59.66,62.9,61.07,66.89,0.27,0.36,-12.71,-0.03,-12.11,0.65,0.0,0.0,0.03,0.0,0.65,0.0,0.0,0.45,0.07,0.2,2.18,0.0,1.8,0.0,0.0,0.17,0.0,0.0,0.0,0.01,1.47,0.0,0.01,,0.0,52.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
SI0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,117.51,87.68,95.55,87.44,,,,,50.17,49.09,89.68,,,,,84.25,,,,59.28,,94.73,117.16,,59.27,52.13,81.91,1.09,1.78,15.57,1.58,20.02,10.45,0.0,0.0,0.03,0.08,10.45,0.31,0.0,3.45,0.36,4.03,1.78,0.0,0.0,0.0,0.0,1.32,0.0,1.98,0.0,0.0,23.75,0.0,1.17,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.82,0.0
SK0 0,,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.0,0.01,,,118.03,88.19,93.56,85.38,,,,,50.79,49.78,87.81,,,,,82.38,,,,60.39,53.88,78.75,,,60.39,53.88,71.17,1.17,8.79,5.43,3.71,19.1,16.36,0.0,0.0,0.02,3.03,16.36,0.61,0.0,6.23,0.75,6.9,2.45,0.0,0.0,0.0,0.0,3.29,30.57,3.53,0.0,0.0,37.17,0.0,3.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30.53,65.04,0.0
EU,,,,,,,,,,,,-326.22,,,,,98.37,-436.54,20.11,104.94,,,,50.01,-371.64,67.61,53.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
