,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
284,NO3 1,NO3 3,304,1.698,11.698,AC,1.698
285,NO3 1,SE3 4,170,1.698,11.698,AC,3.28
286,NO3 2,NO3 4,188,6.153,16.153,AC,6.153
287,NO3 2,NO3 6,242,8.269,18.269,AC,11.262
288,NO3 3,SE3 5,348,0.569,10.569,AC,1.164
289,NO3 4,NO3 5,189,7.409,17.409,AC,7.409
290,NO3 5,NO3 6,240,8.269,18.269,AC,8.269
291,NO3 6,SE3 6,301,3.396,13.396,AC,13.396
292,PL0 0,PL0 6,200,13.594,23.594,AC,13.594
293,PL0 0,PL0 7,203,2.267,12.267,AC,10.536
294,PL0 1,PL0 2,391,0.569,10.569,AC,3.052
295,PL0 1,PL0 3,292,1.698,11.698,AC,11.698
296,PL0 1,PL0 4,263,2.267,12.267,AC,12.267
297,PL0 1,PL0 6,363,1.698,11.698,AC,7.393
298,PL0 2,PL0 3,258,6.811,16.811,AC,13.685
299,PL0 2,PL0 4,225,3.965,13.965,AC,13.965
300,PL0 2,PL0 5,260,9.06,19.06,AC,12.14
301,PL0 4,PL0 5,292,2.277,12.277,AC,7.738
302,PL0 4,PL0 6,181,5.104,15.104,AC,7.836
303,PL0 5,PL0 6,335,3.965,13.965,AC,10.783
304,PL0 5,PL0 7,191,7.371,17.371,AC,7.371
305,PL0 7,SK0 0,308,3.396,13.396,AC,10.952
306,PT0 0,PT0 1,264,13.053,23.053,AC,13.053
307,PT0 0,PT0 2,216,3.396,13.396,AC,4.772
308,RO0 0,RO0 1,280,10.767,20.767,AC,10.767
309,RO0 0,RO0 2,440,0.569,10.569,AC,0.818
310,RO0 0,RS0 0,423,1.698,11.698,AC,1.754
311,RO0 0,RS0 1,325,3.396,13.396,AC,3.396
312,RO0 1,RO0 2,257,5.094,15.094,AC,8.605
313,RS0 0,RS0 1,240,4.535,14.535,AC,7.719
314,SE3 0,SE3 2,446,11.896,21.896,AC,16.651
315,SE3 0,SE3 3,482,6.792,16.792,AC,11.495
316,SE3 0,SE3 6,403,1.698,11.698,AC,1.698
317,SE3 1,SE3 2,252,10.758,20.758,AC,12.349
318,SE3 1,SE3 4,373,1.698,11.698,AC,1.698
319,SE3 1,SE3 7,272,5.094,15.094,AC,5.094
320,SE3 2,SE3 5,141,6.802,16.802,AC,6.802
321,SE3 3,SE3 6,222,5.094,15.094,AC,15.093
322,SE3 4,SE3 7,161,5.094,15.094,AC,5.716
323,SE3 5,SE3 6,751,3.396,13.396,AC,3.396
14547,IT0 10,GR0 1,540,0.5,10.5,DC,5.146
5686,ES2 0,ES0 8,380,0.4,10.4,DC,0.477
14539,ME0 0,IT0 14,560,0.0,10.0,DC,0.0
12998,IT0 4,IT1 0,484,1.0,11.0,DC,1.0
14562,FR0 26,ES0 7,281,2.0,12.0,DC,9.219
14538,DE0 7,BE0 1,146,0.0,10.0,DC,3.831
14550,GB5 9,NL0 0,337,1.0,11.0,DC,2.846
14537,GB5 9,BE0 0,250,0.0,10.0,DC,5.958
14563,GB5 9,FR0 19,177,2.0,12.0,DC,12.0
14542,DK3 0,DK0 0,210,0.6,10.6,DC,9.112
14551,DK3 0,DE0 23,287,0.6,10.6,DC,10.6
14560,PL0 1,SE3 3,431,0.6,10.6,DC,7.041
14540,NL0 3,DK0 0,446,0.0,10.0,DC,10.0
14558,NL0 3,NO3 5,820,0.7,10.7,DC,0.7
